Item Type,Order Type,PO No,Curr,PO Stat Code,Supplier,OrderNo,Buyer,Item Number,Item Description,WH,POCreateDate,PO Req Del Date,PO Conf Del Date,PO Rcvd Date,PO Value,Qty,,Create to Req Days,Req to Conf Days,Conf to Recvd Days,Req to Recvd Days
20 - Parts Item,AIR,3009516,SEK,20,70041 - ALO AB PARTS,          ,ANZAGCONET,AL10411555,PIN,AML,25/09/2020,4/11/2020,,,181,1,,28,0,0,0
20 - Parts Item,AIR,3009516,SEK,20,70041 - ALO AB PARTS,          ,ANZAGCONET,AL10411558,PIN,AML,25/09/2020,4/11/2020,,,181,1,,28,0,0,0
20 - Parts Item,AIR,3009516,SEK,20,70041 - ALO AB PARTS,          ,ANZAGCONET,AL10411559,PIN,AML,25/09/2020,4/11/2020,,,227,2,,28,0,0,0
20 - Parts Item,AIR,3009516,SEK,20,70041 - ALO AB PARTS,          ,ANZAGCONET,AL10411780,TIE ROD MF,AML,25/09/2020,4/11/2020,,,79,1,,28,0,0,0
20 - Parts Item,AIR,3009516,SEK,20,70041 - ALO AB PARTS,          ,ANZAGCONET,AL10411785,BRACKET,AML,25/09/2020,4/11/2020,,,12,1,,28,0,0,0
20 - Parts Item,AIR,3009516,SEK,20,70041 - ALO AB PARTS,          ,ANZAGCONET,AL10418553,PLATE,AML,25/09/2020,4/11/2020,,,46,1,,28,0,0,0
20 - Parts Item,AIR,3009516,SEK,20,70041 - ALO AB PARTS,          ,ANZAGCONET,AL10418561,BRACKET,AML,25/09/2020,4/11/2020,,,129,1,,28,0,0,0
20 - Parts Item,AIR,3009516,SEK,20,70041 - ALO AB PARTS,          ,ANZAGCONET,AL10418654,GRILL GUARD KIT,AML,25/09/2020,4/11/2020,,,106,1,,28,0,0,0
20 - Parts Item,AIR,3009516,SEK,20,70041 - ALO AB PARTS,          ,ANZAGCONET,AL10418991,WASHER,AML,25/09/2020,4/11/2020,,,31,2,,28,0,0,0
20 - Parts Item,AIR,3009516,SEK,40,70041 - ALO AB PARTS,          ,ANZAGCONET,AL5002934,SCREW M6S 20X55 10.9,AML,25/09/2020,28/10/2020,2/11/2020,,37,4,,23,3,0,0
20 - Parts Item,AIR,3009516,SEK,40,70041 - ALO AB PARTS,          ,ANZAGCONET,AL5034266,CONVERSION BLOCK MC-4,AML,25/09/2020,28/10/2020,2/11/2020,,233,1,,23,3,0,0
20 - Parts Item,AIR,3009516,SEK,40,70041 - ALO AB PARTS,          ,ANZAGCONET,AL60107855,BRAND DECAL QUICKE Q4L  Q5  Q5,AML,25/09/2020,28/10/2020,2/11/2020,,63,4,,23,3,0,0
20 - Parts Item,AIR,3009516,SEK,40,70041 - ALO AB PARTS,          ,ANZAGCONET,AL60107882,NUMBER DECAL QUICKE Q5 LH,AML,25/09/2020,28/10/2020,2/11/2020,,42,4,,23,3,0,0
20 - Parts Item,AIR,3009516,SEK,40,70041 - ALO AB PARTS,          ,ANZAGCONET,AL60107883,NUMBER DECAL QUICKE Q5 RH,AML,25/09/2020,28/10/2020,2/11/2020,,42,4,,23,3,0,0
20 - Parts Item,AIR,3009534,AUD,20,80050 - AGCO GMBH,          ,ANZAGCONET,4358219M93,AXLE HOUSING,AML,28/09/2020,4/11/2020,,,976,1,,27,0,0,0
20 - Parts Item,AIR,3009534,AUD,45,80050 - AGCO GMBH,          ,ANZAGCONET,2233C03901,STICKER,AML,28/09/2020,19/10/2020,22/10/2020,,2,1,,15,3,0,0
20 - Parts Item,AIR,3009538,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,X534677146000,SHIM,AML,29/09/2020,14/10/2020,12/10/2020,13/10/2020,5,5,,11,-2,1,-1
20 - Parts Item,AIR,3009543,AUD,15,80050 - AGCO GMBH,          ,ANZAGCONET,V35740800,SHIELD LH,AML,30/09/2020,4/11/2020,,,94,1,,25,0,0,0
20 - Parts Item,AIR,3009543,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,3478405M1,BULB & HOLDER,AML,30/09/2020,14/10/2020,12/10/2020,14/10/2020,9,4,,10,-2,2,0
